,dim1,dim2,dim3,dim4,nn,min_dist
149539,-0.6563234329223633,13.090324401855469,-1.0860493183135986,1.103994369506836,129028,1.5046364068984985
510225,-1.1139839887619019,16.12870979309082,1.746795415878296,2.366581439971924,151425,0.9469578862190247
173637,3.881675958633423,17.678613662719727,6.007536888122559,0.48680463433265686,200513,0.9431309700012207
173435,5.834424018859863,11.268339157104492,8.014750480651855,3.4366512298583984,720337,0.7087033987045288
479762,0.20289810001850128,5.757421970367432,3.292020082473755,5.595103740692139,894673,0.43711116909980774
118528,2.1985254287719727,17.86543846130371,9.675236701965332,5.013479709625244,181232,1.203494906425476
173839,3.1210124492645264,12.479035377502441,-0.3104276955127716,-0.6646994352340698,163331,0.24355627596378326
165941,5.819854259490967,6.102353572845459,0.8307787775993347,-0.7248320579528809,826353,0.24560028314590454
305830,-0.8748254776000977,16.35597801208496,5.284635543823242,4.940568447113037,896879,0.6150209903717041
136126,5.895937442779541,-0.2419140636920929,0.5843097567558289,1.5563799142837524,200008,0.947923481464386
194443,5.567107677459717,13.180323600769043,6.104897499084473,0.6225707530975342,804646,0.5797033905982971
782157,-0.08300432562828064,4.301161766052246,2.1044373512268066,5.116877555847168,771354,0.4498370289802551
159340,6.376675128936768,7.853086471557617,7.136763095855713,4.168987274169922,499566,1.1202813386917114
116221,-0.6943684816360474,16.97740364074707,2.5394513607025146,2.06754994392395,102614,1.0191131830215454
239944,1.6444132328033447,9.579581260681152,6.580550670623779,6.3847222328186035,820745,0.7793524861335754
106016,-1.0931509733200073,3.630967617034912,0.0702119693160057,3.5832877159118652,626648,0.8857417106628418
191336,5.191638946533203,13.485382080078125,3.8436355590820312,-0.20378409326076508,143325,0.9481351375579834
173233,2.782691717147827,13.524210929870605,1.0497441291809082,-0.23989741504192352,177342,0.3817404806613922
683256,6.500271320343018,8.8638916015625,7.148157119750977,3.326554775238037,571144,0.5923195481300354
381038,2.3798375129699707,9.669498443603516,6.84445858001709,6.397628307342529,353740,0.39162641763687134
353740,2.5665395259857178,9.887397766113281,7.110661029815674,6.4106574058532715,381038,0.39162641763687134
214625,-0.13800901174545288,0.06826326251029968,-0.5754912495613098,3.3105483055114746,186040,0.19546478986740112
675661,1.2131389379501343,20.331018447875977,8.867313385009766,3.979585647583008,131217,0.7447704076766968
139637,5.2061872482299805,7.811999320983887,0.4517585337162018,-0.8651458621025085,309636,0.44044095277786255
102614,-0.5495128035545349,17.96351432800293,2.5290496349334717,1.855215311050415,116221,1.0191131830215454
286347,-1.8547762632369995,5.8153076171875,-0.6201617121696472,3.6462531089782715,115825,0.27027761936187744
707749,5.330519199371338,6.272989749908447,1.2353061437606812,-0.5016250610351562,212015,0.6490399241447449
141826,3.8339765071868896,16.037309646606445,4.853548049926758,0.08310665190219879,888678,0.4844551086425781
953764,1.6664776802062988,18.43288230895996,8.370767593383789,3.842228412628174,119126,0.22558476030826569
116423,6.497994899749756,2.330575942993164,2.4689507484436035,1.6785953044891357,901139,0.630776047706604
793465,4.302032947540283,13.002778053283691,2.0427358150482178,-0.4499330222606659,828862,0.5580576658248901
136631,-1.0311580896377563,12.650250434875488,3.985387086868286,5.991212844848633,114217,1.0283758640289307
154835,4.43593168258667,12.399361610412598,8.448212623596191,4.199875354766846,412528,0.9908933043479919
142424,-1.9123562574386597,4.826240539550781,-1.1302218437194824,2.7266345024108887,517239,0.6932198405265808
119833,2.749091625213623,16.19743537902832,8.553757667541504,3.90922212600708,178950,0.9391331672668457
729254,5.809586048126221,12.601447105407715,4.447681427001953,-0.19647382199764252,190132,0.7006630301475525
147636,3.118823289871216,10.187176704406738,7.011892318725586,5.158851146697998,201818,0.8382694721221924
190031,4.269825458526611,12.67770767211914,0.3799465596675873,-0.955813467502594,201515,0.659266471862793
164030,3.0867087841033936,13.591622352600098,7.828680038452148,4.0782012939453125,153227,0.2717260718345642
206727,5.085360527038574,1.9708143472671509,3.902092695236206,5.559547424316406,189349,1.3517792224884033
133019,1.055066704750061,19.205642700195312,8.071702003479004,3.813756227493286,212217,0.7302071452140808
114621,-0.8664155006408691,16.70698356628418,3.833667755126953,3.074338436126709,380036,0.31247076392173767
677766,6.9434285163879395,7.53785514831543,4.6767072677612305,0.7280263900756836,144125,1.0559289455413818
199655,2.7288753986358643,12.884965896606445,7.715117454528809,4.657626152038574,153227,0.9482377767562866
233326,5.414196491241455,9.174098014831543,-0.004816154018044472,-1.1430155038833618,137633,1.1392993927001953
211922,5.041674613952637,0.3524042069911957,0.07975979894399643,0.5798654556274414,286650,0.6664817333221436
128026,-0.677736759185791,13.94408893585205,4.147827625274658,4.394881248474121,433839,1.1408171653747559
634748,1.4737433195114136,14.256335258483887,7.606424331665039,5.373006820678711,209834,0.5386924743652344
148335,-1.7780354022979736,12.19844913482666,-0.09184221178293228,2.6980443000793457,114924,0.47503963112831116
753251,-0.3865978419780731,6.199213027954102,2.385242462158203,5.162177562713623,154229,0.8128370046615601
814649,5.69878625869751,10.02174186706543,2.8850953578948975,-0.2544940412044525,767464,0.4513774514198303
249947,-1.0384447574615479,16.8609561920166,3.310762882232666,3.2240657806396484,380036,0.5366617441177368
176845,0.36454200744628906,11.194231986999512,5.737760066986084,6.205097198486328,146432,1.1593589782714844
812746,7.087284564971924,6.312190532684326,5.294066905975342,2.355624198913574,136732,0.6157746911048889
122317,3.3196542263031006,18.382530212402344,8.42832088470459,2.2085771560668945,198653,0.9487643837928772
656253,5.897265911102295,2.57755708694458,1.7346842288970947,0.9153784513473511,107220,0.7601924538612366
406836,5.279684066772461,7.789245128631592,-1.94608736038208,-2.0047645568847656,361234,1.667034387588501
611938,1.2163276672363281,17.528303146362305,8.521334648132324,4.938543796539307,108525,0.5321109294891357
