,key_0,1_x,2_x,cluster_lab,1_y,2_y,cluster_lab_half2,subjects
484,987074,-5.3131857,-1.5718614,3,-0.30248538,-11.422365,1,987074
485,115017,-10.553862,-28.429369,1,-11.136741,-25.642923,3,115017
486,891667,-40.03956,-9.142278,3,7.3064,-39.524235,3,891667
487,206222,-9.973412,-6.130984,3,16.430285,8.420889,1,206222
488,146735,21.940403,-33.879063,1,-35.67399,0.8833408,2,146735
489,147636,8.69614,-22.89241,1,-22.698927,-6.106872,2,147636
490,198047,22.66315,20.876947,2,1.8121237,19.233406,0,198047
491,169949,-23.242138,-4.1319475,3,15.839347,-6.963499,1,169949
492,189349,16.890877,-38.499115,1,-30.037523,-13.006809,2,189349
493,186444,-17.976503,28.804976,0,22.900848,12.151282,1,186444
494,188145,-21.089357,30.796638,0,19.637918,12.447802,1,188145
495,770352,-29.649702,-7.5827136,3,6.4035707,-28.348404,3,770352
496,185038,3.1892223,42.79418,0,13.090744,46.144432,0,185038
497,200008,14.153619,-23.161482,1,-32.113506,-8.292712,2,200008
498,385046,18.43498,16.334503,2,-1.307144,17.241152,0,385046
499,993675,-10.758882,-43.061726,1,-15.727194,-36.58767,3,993675
500,189652,33.9617,12.206581,2,-8.889374,37.731388,0,189652
501,102816,-14.987109,10.682224,3,27.993725,-12.3975115,1,102816
502,700634,15.961479,-12.875062,2,-14.202398,6.775727,2,700634
503,318637,31.315975,15.998323,2,-7.722991,38.257282,0,318637
504,217429,35.514507,0.25144356,2,-23.334694,23.469538,0,217429
505,130114,-2.9216478,-0.10815149,2,12.047054,-0.5338119,1,130114
506,140925,18.499311,-24.70014,1,-20.831072,-7.7713556,2,140925
507,206727,-2.4282565,-47.193592,1,-28.12092,-30.517212,2,206727
508,118831,-3.6781955,29.204771,0,22.641893,35.922184,0,118831
509,121820,7.2194257,-7.293781,2,-23.109474,8.958738,2,121820
510,199958,6.5797772,-38.245735,1,-22.820068,-36.57903,3,199958
511,191336,13.75447,8.431591,2,-3.7211514,11.421102,0,191336
512,725751,-11.168308,-49.606827,1,-6.5941668,-34.869854,3,725751
513,149539,5.067476,44.70325,0,10.974912,46.368553,0,149539
514,173233,0.43908244,43.818195,0,8.642192,42.67824,0,173233
515,878776,-12.483004,24.763788,0,13.649666,10.443855,1,878776
516,107321,19.569853,-22.552822,1,-8.287316,5.1646276,2,107321
517,705341,-26.32987,19.78657,3,12.933202,-4.721068,1,705341
518,513130,-12.611071,-22.610401,3,-7.425557,-21.512907,3,513130
519,656253,2.6645231,-5.4001827,2,-28.771225,6.4642835,2,656253
520,144933,11.445224,12.796724,2,-1.971358,1.2600206,1,144933
521,887373,8.901651,-35.741066,1,-35.68968,5.434776,2,887373
522,707749,32.82828,13.491683,2,-12.572419,37.063908,0,707749
523,804646,34.859135,-4.0460954,2,-16.748674,30.892048,0,804646
524,541943,-11.399408,4.216196,3,15.419339,-8.020425,1,541943
525,959574,16.22046,4.20284,2,-5.224067,9.017985,2,959574
526,623844,-9.246274,-13.605469,3,6.961872,-15.407814,1,623844
527,212217,2.024846,-16.61031,1,-19.24667,2.6751504,2,212217
528,356948,-22.107157,34.189808,0,20.176697,16.96377,1,356948
529,103515,-33.004364,-1.4798237,3,15.607288,-32.66787,3,103515
530,201515,9.374981,39.406284,0,32.666885,-2.9349284,1,201515
531,761957,-9.875283,-49.500114,1,-5.1698294,-36.72992,3,761957
532,387959,-22.325718,-2.3538938,3,21.612806,-7.459584,1,387959
533,100610,-7.724331,2.319267,3,10.922405,1.3027027,1,100610
534,349244,9.535273,-10.556352,2,-26.846416,10.758735,2,349244
535,160931,-2.1738548,-41.514004,1,-20.528915,-37.828392,3,160931
536,122317,-10.0013,-2.475819,3,12.71464,-2.857271,1,122317
537,550439,-7.7120147,-33.747314,1,-14.3753395,-23.015224,3,550439
538,164030,28.010183,-25.538792,1,-25.948578,29.131721,0,164030
539,614439,-39.42868,-9.474746,3,6.4099464,-39.149082,3,614439
540,587664,19.893404,-37.85111,1,-34.085934,-14.300865,2,587664
541,500222,13.411329,32.44406,0,17.198675,40.59227,0,500222
542,101107,-10.729447,-40.823795,1,-14.300216,-37.41689,3,101107
543,209228,24.309025,22.182413,2,-3.0393062,35.760597,0,209228
544,149337,20.898687,17.10342,2,-0.21465866,17.472174,0,149337
545,152427,9.174222,-9.17541,2,-23.91227,10.98453,2,152427
546,239944,7.307758,-20.87074,1,-21.49615,-2.2710166,2,239944
547,208428,12.425881,9.562613,2,3.5276973,0.73551303,1,208428
548,633847,0.41115874,-26.249723,1,-33.900307,7.71246,2,633847
549,134627,-17.093615,10.504303,3,33.622425,-8.256044,1,134627
